,Date,Quantite,Prix
0,20:01:01:555901,38,0.18
1,20:01:02:325606,38,0.18
2,20:01:03:361547,38,0.18
3,20:01:04:355451,38,0.18
4,20:01:05:378381,38,0.18
5,20:01:06:396306,38,0.18
6,20:01:07:382202,38,0.18
7,20:01:08:384112,38,0.18
8,20:01:09:381529,38,0.18
9,20:01:10:384964,38,0.18
10,20:01:11:388322,38,0.18
11,20:01:12:400241,37,0.18
12,20:01:13:394145,37,0.18
13,20:01:14:395054,37,0.18
14,20:01:15:394963,37,0.18
15,20:01:16:396873,37,0.18
16,20:01:17:404789,19,0.18
17,20:01:18:397692,19,0.18
18,20:01:19:399602,19,0.18
19,20:01:20:399932,19,0.18
20,20:01:21:400846,19,0.18
21,20:01:22:408767,21,0.18
22,20:01:23:402671,21,0.18
23,20:01:24:403580,21,0.18
24,20:01:25:403490,21,0.18
25,20:01:26:405400,21,0.18
26,20:01:27:413317,21,0.18
27,20:01:28:408220,21,0.18
28,20:01:29:409130,21,0.18
29,20:01:30:407697,21,0.18
30,20:01:31:409300,21,0.18
